Marca,Modelo,Año,Versión,Color,Puertas,Transmisión,Motor,Tipo de carrocería,Kilómetros,Precio,Combustible,Modelo_normalizado
Peugeot,208,2021,1.6 Like Pack,,5,Manual,1.6,Compacto,39.000 km,16500,Nafta,208
Peugeot,207,2015,1.4 Allure Hdi 70cv,Gris,5,Manual,1.4,Compacto,94.000 km,9600,Diésel,207
Peugeot,208,2021,1.6 Feline Tiptronic,Azul,5,Automática,1.6,Compacto,50.000 km,19000,Nafta,208
Peugeot,208,2023,1.6 Allure Pack,Negro,5,Manual,1.6,Compacto,22.000 km,22500000,Nafta,208
Peugeot,208,2013,1.6 Feline,Negro,5,Manual,1.6,Compacto,17.000 km,20000,Nafta,208
Peugeot,Expert,2021,1.6 Hdi Premium 6as,,3,Manual,1.6,Light Truck,90.000 km,32000000,Diésel,Expert
Peugeot,207,2015,1.4 Allure 75cv,Rojo,5,Manual,1.4,Compacto,113.000 km,10000000,Nafta,207
Peugeot,208,2020,1.6 Allure Tiptronic,Plateado,5,Automática,1.6,Compacto,80.000 km,22000000,Nafta,208
Peugeot,2008,2020,Sport 1.6 Thp 165 Triptronic Am20,,5,Automática,1.6,SUV,57.000 km,23500000,Nafta,2008
Peugeot,207,2011,Compact 1.4 4 P Xsallure,,4,Manual,INYECCION MULTI PUNTO,Sedán,235.000 km,8000000,Nafta,207
Peugeot,208,2023,1.6 Feline Tiptronic,Azul,5,Automática,1.6,Compacto,11.000 km,26900000,Nafta,208
Peugeot,Partner,2020,1.6 Hdi Furgon Confort 92 5as,,5,Manual,1.6,Light Truck,123.000 km,19000000,Diésel,Partner
Peugeot,207,2010,1.6 Xt,,5,Manual,1.6,Compacto,145.000 km,9800000,Nafta,207
Peugeot,207,2011,1.6 Gti 156cv 5 P,Plateado,5,Manual,1.6,Compacto,119.000 km,13500,Nafta,207
Peugeot,308,2021,1.6 Feline Hdi Manual Diesel 2021,,5,Manual,1.6,Compacto,89.000 km,22000000,Diésel,308
Peugeot,408,2012,2.0 Allure 143cv,,4,Manual,2.0,Sedán,135.000 km,12450000,Nafta,408
Peugeot,408,2018,1.6 Allure Plus Thp 165cv,,4,Manual,1.6,Sedán,73.000 km,15900000,Nafta,408
Peugeot,208,2022,1.6 Feline Tiptronic,Azul,5,Automática,1.6,Compacto,28.272 km,20000,Nafta,208
Peugeot,207,2011,1.4 Xr,Gris,4,Manual,1.4,Compacto,152.000 km,7800,Nafta,207
Peugeot,207,2014,1.4 Allure Hdi 70cv,Gris,5,Manual,1.4,Compacto,115.000 km,9500000,Diésel,207
Peugeot,208,2014,1.6 Feline,,5,Manual,1.6,Compacto,78.000 km,12500,Nafta,208
Peugeot,408,2013,1.6 Allure Plus Hdi 115cv,Rojo,4,Manual,1.6,Sedán,137.000 km,11000,Diésel,408
Peugeot,308,2015,1.6 Feline Hdi 115cv,,5,Manual,1.6,Compacto,168.000 km,13000,Diésel,308
Peugeot,207,2010,1.6 Rc 175cv,Negro,2,Manual,1.6,Compacto,122.000 km,11100000,Nafta,207
Peugeot,2008,2016,No disponible,,5,Manual,1.6,SUV,89.000 km,11900,Nafta,2008
Peugeot,408,2015,2.0 Allure Nav 143cv,Plateado,4,Manual,2.0,Sedán,100.000 km,14500000,Nafta,408
Peugeot,207,2013,1.4 Sedan Active 75cv,Negro,4,Manual,1.4,Sedán,175.000 km,7000,Nafta,207
Peugeot,308,2012,1.6 Allure Nav Hdi 115cv,,5,Manual,1.6,Compacto,154.000 km,13500000,Diésel,308
Peugeot,308,2020,1.6 Feline Thp 165cv Tiptronic,Gris,5,Automática,1.6,Compacto,65.000 km,20990000,Nafta,308
Peugeot,207,2013,1.4 Allure 75cv,,3,Manual,1.4,Compacto,133.000 km,9500000,Nafta,207
Peugeot,208,2023,1.6l Active Pack Tiptronic,Azul,5,Automática,1.6,Compacto,12.800 km,22000000,Nafta,208
Peugeot,208,2014,1.5 Allure,Gris,5,Manual,1.5,Compacto,90.000 km,12250000,Nafta,208
Peugeot,308,2021,1.6 Feline Hdi 115cv,Plateado,5,Manual,1.6,Compacto,85.000 km,17500,Diésel,308
Peugeot,308,2022,1.6 Gt-line Thp Pack Tiptronic,Azul,5,Automática,1.6,SUV,31.000 km,43500000,Nafta,308
Peugeot,208,2014,1.5 Active,,5,Manual,1.5,Compacto,83.000 km,12000000,Nafta,208
Peugeot,208,2020,1.6 Feline,,5,Manual,1.6,Compacto,67.000 km,15000,Nafta,208
Peugeot,207,2009,1.9 Sedan Xs,Dorado,4,Manual,1.9,Sedán,250.000 km,7500,Diésel,207
Peugeot,208,2015,1.6 Feline Pack Cuir,,5,Manual,1.6,Compacto,110.000 km,12500,Nafta,208
Peugeot,206,2006,1.4 X-line,Plateado,3,Manual,1.4,Compacto,142.000 km,7600000,Nafta,206
Peugeot,208,2015,1.6 Allure Touchscreen,Gris,5,Manual,1.6,Compacto,112.000 km,13500000,Nafta,208
Peugeot,308,2016,1.6 Allure Hdi 115cv,Gris,5,Manual,1.6,Compacto,160.000 km,15500000,Diésel,308
Peugeot,208,2024,2024 1.0t Allure Pack,,5,Automática,1.0,Compacto,1.000 km,30000000,Nafta,208
Peugeot,208,2023,1.6l Feline Tiptronic Am23.5,,5,Automática,1.6,Compacto,15.000 km,10600000,Nafta,208
Peugeot,408,2012,2012 1.6 Sport Thp 163cv,Gris,4,Automática,1.6,Sedán,60.000 km,13500000,Nafta,408
Peugeot,308,2012,1.6 Active Hdi 115cv,Negro,5,Manual,1.6,Compacto,188.000 km,12000000,Diésel,308
Peugeot,207,2011,1.9 Sedan Xs,Negro,4,Manual,1.9,Compacto,158.000 km,8750000,Diésel,207
Peugeot,2008,2022,1.6 Allure,,5,Manual,1.6,SUV,35.000 km,22000000,Nafta,2008
Peugeot,207,2010,Rc 175cv 2010 Fase2,Negro,2,Manual,1.6,Compacto,124.000 km,12000,Nafta,207
Peugeot,308,2016,1.6 Feline Thp 163cv,Gris,5,Manual,1.6,Compacto,138.000 km,14000000,Nafta,308
Peugeot,208,2023,1.6 Active Pack,,5,Manual,1.6,Compacto,25.000 km,20200000,Nafta,208
